timestamp,instance,ops_per_sec,connected_clients,used_memory_mb,cmd_get,cmd_set,cmd_xadd,cmd_xreadgroup,cmd_xack,cmd_watch,cmd_multi,cmd_exec,cmd_eval,total_commands
1775422157,redis-orchestrator,33409,129,24.1,67703,101219,0,0,0,67538,101463,101463,167,541269
1775422157,redis-order,27422,401,17.2,168815,67630,0,0,0,67630,67630,67630,0,440739
1775422157,redis-payment,2117,39,18.1,33819,0,0,0,0,0,0,0,0,34000
1775422157,redis-stock,2033,60,18.2,34084,0,0,0,0,0,0,0,0,34328
1775422160,redis-bus,47218,699,17.7,0,0,461428,328056,230714,0,0,0,0,1032237
1775422160,redis-orchestrator,33397,129,24.0,77788,116005,0,0,0,77614,116290,116290,175,620656
1775422160,redis-order,27735,406,17.1,193506,77549,0,0,0,77550,77550,77550,0,505134
1775422160,redis-payment,2229,39,18.1,38919,0,0,0,0,0,0,0,0,39102
1775422160,redis-stock,2351,60,18.2,39351,0,0,0,0,0,0,0,0,39597
1775422162,redis-bus,53742,708,18.0,0,0,530163,352458,264545,0,0,0,0,1159569
1775422162,redis-orchestrator,38549,131,24.1,89082,132946,0,0,0,88905,133265,133265,178,711075
1775422162,redis-order,29810,412,17.1,220445,88441,0,0,0,88442,88442,88442,0,575665
1775422162,redis-payment,2341,39,18.1,44332,0,0,0,0,0,0,0,0,44519
1775422162,redis-stock,2239,60,18.2,44387,0,0,0,0,0,0,0,0,44638
1775422164,redis-bus,53716,711,18.2,0,0,595057,375405,297138,0,0,0,0,1280300
1775422164,redis-orchestrator,40100,131,24.1,100222,149801,0,0,0,100044,150146,150146,183,800810
1775422164,redis-order,33217,418,17.1,250043,99999,0,0,0,100001,100001,100001,0,651522
1775422164,redis-payment,2488,40,18.1,49971,0,0,0,0,0,0,0,0,50165
1775422164,redis-stock,2608,60,18.2,50520,0,0,0,0,0,0,0,0,50774
1775422167,redis-bus,58030,714,18.1,0,0,669214,399440,334148,0,0,0,0,1415820
1775422167,redis-orchestrator,41558,131,24.0,112371,167750,0,0,0,112182,168112,168112,190,896916
1775422167,redis-order,33148,422,17.1,278737,111704,0,0,0,111707,111707,111707,0,727060
1775422167,redis-payment,2667,40,18.1,55937,0,0,0,0,0,0,0,0,56133
1775422167,redis-stock,2558,60,18.2,56327,0,0,0,0,0,0,0,0,56583
1775422169,redis-bus,61028,723,18.6,0,0,744880,423048,371177,0,0,0,0,1552474
1775422169,redis-orchestrator,44876,131,24.1,125052,187211,0,0,0,124858,187582,187582,198,1000107
1775422169,redis-order,36754,435,17.3,312247,124609,0,0,0,124614,124613,124613,0,812242
1775422169,redis-payment,2685,40,18.1,62087,0,0,0,0,0,0,0,0,62285
1775422169,redis-stock,2892,60,18.2,63009,0,0,0,0,0,0,0,0,63267
1775422171,redis-bus,59527,726,18.1,0,0,821713,447771,409865,0,0,0,0,1693022
1775422171,redis-orchestrator,43575,131,24.1,137671,206130,0,0,0,137470,206499,206499,203,1100962
1775422171,redis-order,36681,442,17.2,345028,137264,0,0,0,137270,137268,137268,0,895674
1775422171,redis-payment,2691,40,18.1,68368,0,0,0,0,0,0,0,0,68569
1775422171,redis-stock,2931,60,18.2,69510,0,0,0,0,0,0,0,0,69772
1775422174,redis-bus,58607,730,18.8,0,0,897297,471767,446767,0,0,0,0,1829842
1775422174,redis-orchestrator,41955,131,24.1,150410,225266,0,0,0,150205,225633,225633,206,1202897
1775422174,redis-order,34415,445,17.2,378472,149448,0,0,0,149454,149454,149454,0,977871
1775422174,redis-payment,2667,40,18.1,74517,0,0,0,0,0,0,0,0,74723
1775422174,redis-stock,2481,60,18.2,75658,0,0,0,0,0,0,0,0,75924
1775422176,redis-bus,59226,733,19.0,0,0,971613,496545,483920,0,0,0,0,1966404
1775422176,redis-orchestrator,43308,131,24.1,162692,244001,0,0,0,162484,244361,244361,213,1302304
1775422176,redis-order,36380,456,17.3,415015,161928,0,0,0,161938,161936,161936,0,1064382
1775422176,redis-payment,2553,40,18.1,80425,0,0,0,0,0,0,0,0,80633
1775422176,redis-stock,2740,60,18.2,82231,0,0,0,0,0,0,0,0,82499
1775422178,redis-bus,57764,736,18.5,0,0,1043907,521456,520181,0,0,0,0,2100185
1775422178,redis-orchestrator,41528,132,24.2,174571,261796,0,0,0,174351,262149,262149,221,1397146
1775422178,redis-order,36590,462,17.3,449259,173577,0,0,0,173588,173586,173586,0,1145254
1775422178,redis-payment,2558,40,18.1,86389,0,0,0,0,0,0,0,0,86599
1775422178,redis-stock,2809,61,18.2,88447,0,0,0,0,0,0,0,0,88720
1775422181,redis-bus,57557,738,19.4,0,0,1118109,547013,556462,0,0,0,0,2236542
1775422181,redis-orchestrator,41668,133,24.2,186965,280651,0,0,0,186739,280999,280999,227,1497254
1775422181,redis-order,34751,471,17.3,487444,185919,0,0,0,185935,185928,185928,0,1232848
1775422181,redis-payment,2492,40,18.1,92356,0,0,0,0,0,0,0,0,92568
1775422181,redis-stock,2664,61,18.2,94697,0,0,0,0,0,0,0,0,94973
1775422183,redis-bus,57388,739,18.5,0,0,1191886,573086,593019,0,0,0,0,2373268
1775422183,redis-orchestrator,41264,133,24.2,199313,299378,0,0,0,199084,299725,299725,230,1596724
1775422183,redis-order,36657,489,17.5,527178,197999,0,0,0,198017,198010,198010,0,1320967
1775422183,redis-payment,2419,42,18.1,98239,0,0,0,0,0,0,0,0,98462
1775422183,redis-stock,2631,63,18.3,100758,0,0,0,0,0,0,0,0,101045
1775422185,redis-bus,55083,744,18.8,0,0,1261770,597759,627830,0,0,0,0,2502962
1775422185,redis-orchestrator,40531,134,24.2,210806,316789,0,0,0,210576,317131,317131,235,1689192
1775422185,redis-order,36371,726,19.1,567075,209888,0,0,0,209901,209900,209900,0,1409134
1775422185,redis-payment,2405,42,18.1,104198,0,0,0,0,0,0,0,0,104424
1775422185,redis-stock,2600,64,18.3,107102,0,0,0,0,0,0,0,0,107394
1775422188,redis-bus,54300,750,18.3,0,0,1333374,623935,663713,0,0,0,0,2636965
1775422188,redis-orchestrator,38692,134,24.2,222875,334843,0,0,0,222632,335179,335179,244,1785384
1775422188,redis-order,37418,727,17.9,607673,221529,0,0,0,221547,221541,221541,0,1496314
1775422188,redis-payment,2464,42,18.1,109940,0,0,0,0,0,0,0,0,110168
1775422188,redis-stock,2516,64,18.2,112943,0,0,0,0,0,0,0,0,113237
1775422190,redis-bus,55922,753,19.0,0,0,1405339,649206,699159,0,0,0,0,2769978
1775422190,redis-orchestrator,40261,134,24.2,234721,352720,0,0,0,234472,353051,353051,251,1880414
1775422190,redis-order,36566,734,18.0,647363,232802,0,0,0,232815,232815,232815,0,1581124
1775422190,redis-payment,2447,42,18.1,115607,0,0,0,0,0,0,0,0,115837
1775422190,redis-stock,2478,64,18.2,118704,0,0,0,0,0,0,0,0,119000
1775422193,redis-bus,56559,757,19.5,0,0,1476208,674142,734328,0,0,0,0,2901259
1775422193,redis-orchestrator,41224,135,24.3,246391,370407,0,0,0,246138,370737,370737,254,1974330
1775422193,redis-order,37928,744,18.1,689978,244370,0,0,0,244388,244383,244383,0,1670052
1775422193,redis-payment,2442,42,18.1,121262,0,0,0,0,0,0,0,0,121496
1775422193,redis-stock,2583,64,18.2,124854,0,0,0,0,0,0,0,0,125155
1775422195,redis-bus,55557,759,18.5,0,0,1544490,698052,768498,0,0,0,0,3027937
1775422195,redis-orchestrator,39778,136,24.3,257696,387442,0,0,0,257439,387769,387769,258,2064885
1775422195,redis-order,37687,746,18.0,731298,255624,0,0,0,255649,255637,255637,0,1756407
1775422195,redis-payment,2458,42,18.1,126879,0,0,0,0,0,0,0,0,127117
1775422195,redis-stock,2557,65,18.3,130671,0,0,0,0,0,0,0,0,130978
1775422197,redis-bus,57009,763,19.8,0,0,1614687,722368,802923,0,0,0,0,3157177
1775422197,redis-orchestrator,40833,138,24.3,269359,405157,0,0,0,269094,405476,405476,266,2158880
1775422197,redis-order,38779,755,18.1,775388,266972,0,0,0,266989,266985,266985,0,1845917
1775422197,redis-payment,2432,42,18.1,132456,0,0,0,0,0,0,0,0,132696
1775422197,redis-stock,2563,65,18.2,136598,0,0,0,0,0,0,0,0,136907
1775422199,redis-bus,54990,764,19.1,0,0,1680328,746227,836038,0,0,0,0,3280117
1775422199,redis-orchestrator,39871,138,24.3,280610,422073,0,0,0,280339,422384,422384,274,2248845
1775422199,redis-order,40035,769,18.2,820387,278269,0,0,0,278282,278282,278282,0,1936151
1775422199,redis-payment,2444,42,18.1,138174,0,0,0,0,0,0,0,0,138416
1775422199,redis-stock,2617,65,18.2,142405,0,0,0,0,0,0,0,0,142716
1775422202,redis-bus,55588,764,18.8,0,0,1750901,770126,870646,0,0,0,0,3409512
1775422202,redis-orchestrator,39221,138,24.3,292202,439577,0,0,0,291925,439886,439886,278,2341807
1775422202,redis-order,38162,773,18.1,864709,289209,0,0,0,289230,289224,289224,0,2024266
1775422202,redis-payment,2363,42,18.1,143681,0,0,0,0,0,0,0,0,143926
1775422202,redis-stock,2491,65,18.2,148336,0,0,0,0,0,0,0,0,148651
1775422204,redis-bus,54075,764,18.8,0,0,1820856,794256,905203,0,0,0,0,3538458
1775422204,redis-orchestrator,39735,138,24.3,303921,457387,0,0,0,303643,457692,457692,282,2436241
1775422204,redis-order,39434,779,18.1,914369,300778,0,0,0,300793,300793,300793,0,2120218
1775422204,redis-payment,2322,42,18.1,149295,0,0,0,0,0,0,0,0,149545
1775422204,redis-stock,2534,66,18.3,154219,0,0,0,0,0,0,0,0,154541
1775422206,redis-bus,53593,766,19.2,0,0,1886015,817581,938261,0,0,0,0,3660322
1775422206,redis-orchestrator,39338,151,24.6,314917,473817,0,0,0,314630,474115,474115,289,2523734
1775422206,redis-order,40664,800,18.4,963030,312035,0,0,0,312054,312050,312050,0,2213981
1775422206,redis-payment,2495,42,18.1,155152,0,0,0,0,0,0,0,0,155404
1775422206,redis-stock,2527,66,18.2,160131,0,0,0,0,0,0,0,0,160455
1775422209,redis-bus,54968,770,18.2,0,0,1957441,841943,973353,0,0,0,0,3791526
1775422209,redis-orchestrator,39119,151,24.4,326575,491421,0,0,0,326279,491712,491712,297,2617223
1775422209,redis-order,39953,826,18.5,1009667,322896,0,0,0,322916,322911,322911,0,2304152
1775422209,redis-payment,2434,42,18.1,160545,0,0,0,0,0,0,0,0,160799
1775422209,redis-stock,2420,66,18.2,165648,0,0,0,0,0,0,0,0,165974
1775422211,redis-bus,54131,773,18.4,0,0,2024291,864705,1006208,0,0,0,0,3914302
1775422211,redis-orchestrator,39515,151,24.4,337869,508635,0,0,0,337570,508922,508922,302,2708405
1775422211,redis-order,40520,837,18.4,1062111,334358,0,0,0,334374,334374,334374,0,2402484
1775422211,redis-payment,2367,42,18.1,166144,0,0,0,0,0,0,0,0,166400
1775422211,redis-stock,2519,66,18.2,171766,0,0,0,0,0,0,0,0,172095
1775422213,redis-bus,53432,774,19.1,0,0,2093656,889117,1041073,0,0,0,0,4043278
1775422213,redis-orchestrator,38669,151,24.4,349311,525804,0,0,0,349008,526091,526091,305,2799696
1775422213,redis-order,42133,850,18.4,1114092,345609,0,0,0,345625,345625,345625,0,2499513
1775422213,redis-payment,2393,42,18.1,171898,0,0,0,0,0,0,0,0,172159
1775422213,redis-stock,2598,66,18.2,177838,0,0,0,0,0,0,0,0,178171
1775422216,redis-bus,53999,776,18.4,0,0,2164345,913556,1076308,0,0,0,0,4173977
1775422216,redis-orchestrator,38454,151,24.4,361100,543547,0,0,0,360789,543828,543828,312,2893962
